Tags,Checked,Name,Formula,Annot. Source: Predicted Compositions,Annot. Source: mzCloud Search,Annot. Source: Metabolika Search,Annot. Source: ChemSpider Search,Annot. DeltaMass [ppm],Calc. MW,m/z,RT [min],Area (Max.),# ChemSpider Results,# mzCloud Results,mzCloud Best Match,mzCloud Best Match Confidence,mzCloud Best Sim. Match,MS2,Reference Ion,"Group Area: Control, Sample","Group Area: Dosed, Sample","Group CV [%]: Control, Sample","Group CV [%]: Dosed, Sample","Ratio: (Dosed, Sample) / (Control, Sample)","Log2 Fold Change: (Dosed, Sample) / (Control, Sample)","P-value: (Dosed, Sample) / (Control, Sample)","Adj. P-value: (Dosed, Sample) / (Control, Sample)",Peak Rating (Max.),Peak Rating: 5weeks_1_nonpolar_neg.raw (F1),Peak Rating: 5weeks_2_nonpolar_neg.raw (F2),Peak Rating: 5weeks_3_nonpolar_neg.raw (F3),Peak Rating: 5weeks_4_nonpolar_neg.raw (F4),Peak Rating: 8weeks_1_nonpolar_neg.raw (F9),Peak Rating: 8weeks_2_nonpolar_neg.raw (F10),Peak Rating: 8weeks_3_nonpolar_neg.raw (F11),Peak Rating: 8weeks_4_nonpolar_neg.raw (F12),Peak Rating: 12weeks_1__nonpolar_neg.raw (F17),Peak Rating: 12weeks_2_nonpolar_neg.raw (F18),Peak Rating: 12weeks_3_nonpolar_neg.raw (F19),Peak Rating: 12weeks_4_nonpolar_neg.raw (F20),Peak Rating: 5weeks_9_nonpolar_neg.raw (F5),Peak Rating: 5weeks_10_nonpolar_neg.raw (F6),Peak Rating: 5weeks_11_nonpolar_neg.raw (F7),Peak Rating: 5weeks_12_nonpolar_neg.raw (F8),Peak Rating: 8weeks_9_nonpolar_neg.raw (F13),Peak Rating: 8weeks_10_nonpolar_neg.raw (F14),Peak Rating: 8weeks_11_nonpolar_neg.raw (F15),Peak Rating: 8weeks_12_nonpolar_neg.raw (F16),Peak Rating: 12weeks_9_nonpolar_neg.raw (F21),Peak Rating: 12weeks_10_nonpolar_neg.raw (F22),Peak Rating: 12weeks_11_nonpolar_neg.raw (F23),Peak Rating: 12weeks_12_nonpolar_neg.raw (F24),Peak Rating: Blk8_nonpolar_neg.raw (F25),Peak Rating: Blk9_nonpolar_neg.raw (F26),Peak Rating: Blk10_nonpolar_neg.raw (F27),Peak Rating: Blk11_nonpolar_neg.raw (F28),Peak Rating: Blk12_nonpolar_neg.raw (F29),Peak Rating: Blk13_nonpolar_neg.raw (F30),Peak Rating: Blk14_nonpolar_neg.raw (F31)
,FALSE,[Similar to: Oleic Acid; ΔMass: 228.0394 Da],C27 H38 N6 O4,Full match,Invalid mass,No results,No match,-0.35,510.29528,509.288,2.988,1514775416,3,6,,,55.9,DDA for preferred ion,[M-H]-1,273485543,469115761.1,58.16422157,65.35319026,1.715,0.78,0.018088337,0.29856576,7,5.8,6.6,6.2,6.2,5.8,6.2,6.2,5.1,6.2,5.8,5.8,6.6,6.6,6.6,6.6,6.6,7,6.6,6.6,6.6,7,6.6,6.6,6.2,,,,,,,
,FALSE,,C4 H Br N P S,Full match,No results,No results,No results,5.61,204.87622,203.86894,32.857,1504815113,0,0,,,,DDA for preferred ion,[M-H]-1,202545488.9,251315473.3,124.8726376,34.07035158,1.241,0.31,0.494172304,0.875268399,5.8,,,4.3,,,0.9,2.4,5.1,1.3,5.8,5.1,,,,,,4.1,4.4,2.9,5.2,2.9,,,4.8,1.7,5.5,2.4,2.4,,,5.1
,FALSE,,C24 H44 N5 O3 P,Full match,No results,No results,No match,-4.06,481.31622,540.33005,2.82,1283023910,5,0,,,,DDA for preferred ion,[M-H+HAc]-1,385727681.7,499529012.4,59.4131443,56.17183516,1.295,0.37,0.263780069,0.75601815,7,6.6,6.6,6.6,6.2,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,7,6.6,6.6,6.6,6.6,6.6,6.6,,,,,,,
,FALSE,,C23 H41 N2 O5 P S,Full match,No results,No results,No match,-6.79,488.24406,487.23679,1.221,1173480162,4,0,,,,DDA for preferred ion,[M-H]-1,325515256.3,454211820.5,63.56790771,65.25927352,1.395,0.48,0.116764787,0.605096679,7,6.2,7,6.6,6.6,7,6.6,6.6,7,6.6,7,6.6,6.6,7,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,,3.6,5,,,,
,FALSE,NP-011548,C18 H34 O3,Full match,Full match,No results,Partial match,-0.56,298.25063,297.24335,1.909,1145076938,23,1,73.7,8.7,,DDA for preferred ion,[M-H]-1,415713499,431425314.2,59.57075026,35.95896656,1.038,0.05,0.658327061,0.931532039,7.5,7,7,7,7,7,6.6,6.2,6.6,6.6,6.6,7,7,7.5,7.5,7.5,7.5,7.5,7.1,7.1,7.5,7.5,7.5,7.5,7.5,,,,,,,
,FALSE,β-Muricholic acid,C24 H40 O5,No match,Invalid mass,No results,No match,-34329.02,394.27146,453.28531,1.251,1073696700,12,2,69.6,8.5,,DDA for preferred ion,[M-H+HAc]-1,562186064.9,627633059.3,36.41301992,20.80687419,1.116,0.16,0.191230762,0.699605376,8,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.6,7.6,7.6,8,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,4,4.6,5,4.6,5.4,2.7,4
,FALSE,,,No results,No results,No results,No results,,224.80539,223.79811,18.077,1056073098,0,0,,,,DDA for preferred ion,[M-H]-1,543913296.6,231791481.3,60.03013378,84.47148196,0.426,-1.23,0.014505298,0.272652942,4.3,,3.2,,4.3,4.3,,,3.9,,,2.8,3.9,4.3,3.2,3.2,3.6,3.9,3.6,4.3,,3.6,3.6,2.8,3.6,3.9,3.9,2.8,2.4,3.9,3.6,3.9
,FALSE,,,No results,No results,No results,No results,,115.94358,114.9363,32.845,1050215894,0,0,,,,DDA for preferred ion,[M-H]-1,295586671.5,290872256.1,63.52235401,24.16651368,0.984,-0.02,0.486812092,0.872912171,4.9,0.9,,,,,,,3.6,1.7,0.9,,,,,,,,,3.4,,4.2,,,4.9,,3.9,4.7,,,,3.6
,FALSE,,,No results,No results,No results,No results,,204.87622,203.86894,32.304,1049338105,0,0,,,,DDA for preferred ion,[M-H]-1,203018822.4,250430276.6,72.67722446,72.1321243,1.234,0.3,0.354456523,0.822210185,5.6,,,2.4,2.8,,3.2,,,3.2,5.5,3.9,,,,,,3.2,2.8,3.9,2,3.9,1.7,,2,5.2,4.4,5.6,,,,2.9
,FALSE,,C32 H69 N3 P2 S,Full match,No results,No results,No results,7.9,589.4734,588.46612,12.277,1008513998,0,0,,,,DDA for preferred ion,[M-H]-1,212068698.2,137943318.5,95.28778323,87.43075808,0.65,-0.62,0.02732832,0.361853978,7,5.5,5.5,6.6,6.6,6.2,6.6,6.2,5.8,6.2,4.7,7,6.6,7,6.2,5.5,5.8,5.8,5.8,5.8,5.5,,,,,,,,,,,
,FALSE,Arachidonic acid,C20 H32 O2,Full match,Full match,Partial match,Full match,-0.73,304.24001,303.23273,3.664,976354539.3,77,2,89.5,60.3,,DDA for preferred ion,[M-H]-1,319076080.5,371585674.8,62.12915275,69.32580678,1.165,0.22,0.551380908,0.901806937,7,5.8,6.6,6.6,6.2,6.6,6.6,6.2,6.6,6.6,6.6,6.6,7,7,7,5.1,6.6,6.6,6.2,5.8,7,6.6,6.6,6.6,6.6,,,,,,,
,FALSE,,C24 H48 N5 O2 P3 S2,Full match,No results,No results,No results,2.91,595.24796,594.24068,1.122,954124364.5,0,0,,,,DDA for preferred ion,[M-H]-1,413300297.6,521296364.2,58.35313854,41.59926648,1.261,0.33,0.528980597,0.894259269,7,6.2,6.6,6.6,6.6,7,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,7,6.6,6.6,6.6,6.6,6.6,6.6,6.6,7,7,7,4.6,5.6,6,3.9,5.8,5.4,4.8
,FALSE,"2,6-Diacetylpyridine",C9 H9 N O2,Full match,No results,No results,Full match,0,163.06333,162.05605,1.118,954040094,55,0,,,,DDA for preferred ion,[M-H]-1,340679642.3,428865769.9,58.84844725,49.1441908,1.259,0.33,0.300522634,0.788212872,7,6.6,6.6,6.6,7,7,7,6.6,6.6,6.6,6.6,6.6,6.6,7,6.6,6.6,6.6,7,6.6,7,7,6.6,7,7,6.6,1.2,,3.5,5,3.5,,1.8
,FALSE,Aldosterone,C21 H28 O5,Not the top hit,Full match,Full match,No match,8.43,360.19671,359.18942,1.305,904863706.2,6,1,60.4,8,,DDA for preferred ion,[M-H]-1,145153758.4,161769453.5,107.6878743,91.06259698,1.114,0.16,0.291186884,0.782199559,7,6.6,6.6,7,6.6,6.6,6.6,6.6,6.6,6.2,6.6,6.6,7,6.6,7,6.6,6.6,6.6,6.6,6.6,6.6,7,6.6,6.6,6.6,,,,,,,
,FALSE,,C28 H53 O10 P,Full match,No results,No results,No match,-0.95,580.33709,579.32981,3.866,876938237,2,0,,,,DDA for preferred ion,[M-H]-1,215207931.7,330676920,85.88754852,36.67268673,1.537,0.62,0.167954269,0.677218863,7.5,6.6,6.6,7,6.6,7,7,6.6,7,6.6,6.6,6.6,6.6,7.1,7.5,7.1,7.1,7.1,7.5,7.1,7.5,7.5,7.1,7.5,7.5,,,,,,,
,FALSE,Arachidonic acid,C20 H32 O2,No match,Invalid mass,No results,No match,59197.75,322.25057,303.23272,3.658,831001758.9,23,2,87.7,59.2,,DDA for preferred ion,[M-H-H2O]-1,315934216,446714895.8,51.48515372,45.30335991,1.414,0.5,0.274277878,0.76659805,7,6.6,6.6,6.6,6.2,6.6,6.6,6.2,6.6,6.6,6.6,6.6,6.6,7,7,7,6.6,6.6,6.2,6.6,7,6.6,6.6,6.6,6.6,,,,,,,
,FALSE,2-Aminoethyl (2R)-3-[(1Z)-1-hexadecen-1-yloxy]-2-hydroxypropyl hydrogen phosphate,C21 H44 N O6 P,Full match,No results,No results,Full match,-1.06,437.29016,436.28288,3.07,804687983.6,1,0,,,,DDA for preferred ion,[M-H]-1,289179410.5,267773319.7,60.66806577,61.89541846,0.926,-0.11,0.880442479,0.979652148,7,6.6,7,7,6.6,6.6,7,7,6.6,6.6,6.6,6.6,7,6.6,6.6,6.6,6.6,6.6,7,6.6,6.6,6.6,6.6,7,6.6,,,,,,,
,FALSE,,C42 H76 N4 O5,Full match,No results,No results,No results,-2.67,716.57966,715.57238,14.88,794678806.6,0,0,,,,DDA for preferred ion,[M-H]-1,470939541.7,372006077.6,37.38654857,33.56571598,0.79,-0.34,0.280220656,0.774295502,7.5,7.5,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,6.7,7.1,7.1,6.7,7.1,7.1,6.7,6.7,7.1,7.1,7.1,7.5,6,7.1,,,,,,,
,FALSE,,C22 H46 N6 O9,Full match,No results,No results,No match,4.16,538.33487,537.32759,2.858,771126772.8,3,0,,,,DDA for preferred ion,[M-H]-1,246735608.9,125952359.6,95.14138693,94.70633644,0.51,-0.97,0.902724495,0.983082637,6.6,6.6,6.6,4.1,6.2,6.6,6.6,5.8,6.6,5.8,6.2,6.6,6.6,6.6,6.6,6.6,6.6,5.8,6.2,6.2,6.6,6.6,6.2,6.2,5.8,,,,,,,
,FALSE,,C55 H78 O2 S,Full match,No results,No results,No results,-0.51,802.57185,801.56457,15.312,760680521,0,0,,,,DDA for preferred ion,[M-H]-1,301293921.4,204104870.5,68.37446048,57.66486653,0.677,-0.56,0.463778122,0.863448949,6.6,6.6,4.7,5.1,6.6,5.8,6.6,5.8,6.6,6.6,6.6,6.6,6.2,6.6,5.8,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.2,6.6,,,,,,,
,FALSE,,C7 H8 O5 P2,Full match,No results,No results,No match,-8.87,233.98262,232.97534,29.797,748498502.5,2,0,,,,No MS2,[M-H]-1,9277683.699,16037777.82,171.0905323,197.6857208,1.729,0.79,0.528802879,0.894259269,6.2,,2.7,,5.5,2.8,,,3.7,,,2.8,3.3,,1.1,,,1.7,,5.8,5,,3.6,,,6.2,,,2.4,,,
,FALSE,NP-012534,C15 H24 O5,No match,Invalid mass,No results,No match,-63369.58,266.15512,265.14785,5.312,721683512.5,5,5,87,9.3,,DDA for preferred ion,[M-H]-1,359779817.9,511654559.8,38.99466747,28.32339367,1.422,0.51,0.02813193,0.366169656,6.8,6.3,6.3,6.3,4.4,6.7,6.3,5.6,6.3,4.4,6.7,4.8,6,6.5,5.7,6.8,6.8,6.5,6.8,6.5,6.8,6.5,6.8,6.8,6.1,,,,,,,
,FALSE,3-Hydroxybutyric acid,C4 H8 O3,Full match,Full match,No results,Not the top hit,0.43,104.04739,103.04011,9.599,704320548,28,2,83.2,9.2,,DDA for preferred ion,[M-H]-1,39200618.82,23331481.7,169.1023449,125.069678,0.595,-0.75,0.203854462,0.707611515,6.2,,5.8,,1.7,1.3,,2.4,,2.4,1.3,4.3,3.9,,,6.2,2,2,,2.8,,,,6.2,1.3,,,,0.9,,,
,FALSE,3-Hydroxybutyric acid,C4 H8 O3,Full match,Full match,No results,Not the top hit,0.25,104.04737,103.04009,10.008,704320548,28,2,83.9,9.2,,DDA for preferred ion,[M-H]-1,91201060.04,40252207.88,124.0537902,82.28572456,0.441,-1.18,0.079160844,0.526876286,5.1,2.4,1.3,2.4,,,,,1.3,2.4,1.3,2.4,2.4,4.3,,0.9,,3.2,0.9,3.6,,1.3,4.3,4.3,2.4,2,5.1,,,3.9,,
,FALSE,3-Hydroxybutyric acid,C4 H8 O3,Full match,Full match,No results,Not the top hit,0.32,104.04738,103.0401,9.84,704320548,28,2,83.7,9.2,,DDA for preferred ion,[M-H]-1,64041455.41,27312131.55,135.6280168,57.71129484,0.426,-1.23,0.009649925,0.229757568,6.6,2.4,2.4,0.9,,,,6.6,,2.4,1.3,2,3.9,4.3,,,,3.2,,,,5.5,4.7,4.3,2.4,2,3.6,2,0.9,0.9,,
,FALSE,,C23 H48 N O6 P,Full match,No results,No results,No results,-1.24,465.32135,464.31407,4.456,666873459.8,0,0,,,,DDA for preferred ion,[M-H]-1,232581643.7,182997965,61.13192547,58.18811448,0.787,-0.35,0.424333583,0.848110543,7,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,7,6.6,7,6.6,6.6,6.6,6.6,6.6,6.6,,,,,,,
,FALSE,Bis(2-ethylhexyl) phthalate,C24 H38 O4,Full match,No results,No results,Full match,-0.92,390.27665,389.26937,1.548,625102601.9,118,0,,,,DDA for preferred ion,[M-H]-1,227947917.9,227747207.1,51.98254741,29.74677988,0.999,0,0.594428547,0.915529288,8,7,7,6.6,6.6,7,6.6,6.6,7,7,7,6.6,7,7.6,7.6,8,7.6,7.6,7.2,7.6,8,8,8,7.6,8,,,,,,,
,FALSE,,C19 H36 O7 S,Full match,No results,No results,No match,-0.61,408.21792,407.21064,1.281,607221529.1,2,0,,,,DDA for preferred ion,[M-H]-1,100331044.4,169976863,58.55613141,63.99237815,1.694,0.76,0.006870347,0.205224415,7,5.8,6.6,6.2,6.6,6.6,6.6,6.6,6.2,6.2,6.6,6.6,6.2,6.6,7,6.6,6.6,6.2,6.6,6.6,6.6,6.6,6.6,6.6,6.2,,,,,,,
,FALSE,,C H2 Cl2 O2 S2,Full match,No results,No results,No results,2.13,179.88771,178.88043,1.135,583485142.9,0,0,,,,DDA for preferred ion,[M-H]-1,2817794.902,2013467.138,249.3077548,232.5966742,0.715,-0.48,0.68002782,0.937707801,6.6,6.6,5.8,6.6,,4.7,5.5,,6.4,,,5.4,,5.5,5.8,5.6,,,,,3.3,4.5,,6.2,,,,,,,,
,FALSE,Linoleic acid,C18 H32 O2,Full match,Full match,Full match,Full match,-0.35,280.24013,279.23286,3.922,577751820.7,42,4,83.2,9.2,,DDA for preferred ion,[M-H]-1,234493088.2,330883110.6,59.5213218,38.95414003,1.411,0.5,0.210820207,0.712271585,7.5,6.6,6.6,7,6.6,6.6,6.6,6.6,6.2,6.2,6.6,5.8,6.6,7.5,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.5,7.1,7.5,7.1,,,,,,,
,FALSE,Deoxycholic Acid,C24 H40 O4,Full match,Full match,No results,Not the top hit,-0.75,392.29236,391.28509,1.368,551060448.6,38,2,87.7,9.4,,DDA for preferred ion,[M-H]-1,211450303.6,216187198.3,52.58065887,42.91432289,1.022,0.03,0.602881008,0.92023829,6.6,6.6,6.2,6.2,6.2,6.2,6.2,5.8,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.6,5.8,6.2,6.6,6.2,6.6,6.2,6.2,6.6,4.8,5.4,,5,,,2.1
,FALSE,,C20 H34 N6 O2,Full match,No results,No results,No match,6.32,390.27679,389.26952,1.35,550934016.2,118,0,,,,DDA for preferred ion,[M-H]-1,169765747.5,123385085.4,88.4584681,74.19130121,0.727,-0.46,0.77019365,0.960313787,6.6,5.8,5.8,5.8,6.2,6.2,6.2,5.8,6.2,6.2,6.2,5.1,6.2,6.2,6.2,6.2,,6.2,,5.8,5.8,6.2,6.2,6.2,6.6,4.8,5.4,5.4,5,3.5,,
,FALSE,Nervonic acid,C24 H46 O2,Full match,No results,No results,Full match,-1.1,366.34938,425.36323,12.606,550206132.3,17,0,,,,DDA for preferred ion,[M-H+HAc]-1,114456106.1,178819881.7,109.3318997,61.53344553,1.562,0.64,0.119629724,0.611997922,7,6.6,6.6,6.2,6.6,,2.7,2.7,4.8,6.6,5.5,5.1,6.6,5.8,7,6.6,6.6,5.8,5.1,6.2,6.2,5.5,5.8,5.1,6.2,,,,,,,
,FALSE,diisooctyl sebacate,C26 H50 O4,Full match,No results,No results,Full match,-0.86,426.37054,425.36327,12.467,550206132.3,67,0,,,,DDA for preferred ion,[M-H]-1,113801620.3,179768450.9,109.4111818,60.72444178,1.58,0.66,0.117492197,0.606839356,7,6.6,6.6,6.2,6.6,,,2.7,4.8,,5.5,5.1,,5.1,7,6.6,,5.1,5.1,6.2,6.2,5.5,5.8,,6.2,,,,,,,
,FALSE,,C22 H46 N6 O2,Full match,No results,No results,No match,5.49,426.37057,425.36329,12.614,550206132.3,66,0,,,,DDA for preferred ion,[M-H]-1,114456106.1,178819881.7,109.548043,64.23675279,1.562,0.64,0.144090661,0.646353306,7,6.6,6.6,6.2,6.6,,2.7,2.7,4.8,6.6,,6.6,6.6,5.8,7,6.6,6.6,5.8,,,,5.5,6.2,5.1,,,,,,,,
,FALSE,,,No results,No results,No results,No results,,222.80782,221.80055,7.348,538988882.5,0,0,,,,DDA for preferred ion,[M-H]-1,75697418.58,74800085.92,116.0503118,36.7059894,0.988,-0.02,0.498847827,0.877145954,6.3,4.3,5.8,5.1,3.9,4.3,5.8,4.7,4.7,4.7,5.1,3.9,5.8,5.6,6,6,5.6,5.6,4.4,5.2,5.2,6.3,4.1,5.2,6,,,,,,,
,FALSE,1-Stearoyl-2-hydroxy-sn-glycero-3-PE,C23 H48 N O7 P,Full match,No results,No results,Full match,-0.91,481.3164,480.30912,3.847,533523996.6,4,0,,,,DDA for preferred ion,[M-H]-1,236598333.5,162035365.8,48.0448027,55.71822177,0.685,-0.55,0.256232019,0.74889181,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.2,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.2,6.6,6.6,6.6,6.6,6.6,,,,,,,
,FALSE,triallyl trimellitate,C18 H18 O6,Full match,No results,No results,Full match,-0.08,330.11031,329.10304,1.116,528036231.7,66,0,,,,DDA for preferred ion,[M-H]-1,119548805.3,157952218,39.3748435,63.00382838,1.321,0.4,0.025342214,0.349222771,7.5,7.1,7.1,7.1,6.7,7.5,7.1,7.1,7.5,7.1,7.1,7.5,7.1,6.6,6.6,7,6.6,6.6,6.6,6.6,7,6.6,6.6,7,6.6,,5.3,,3.4,,,
,FALSE,,C23 H39 N9 O4,Full match,No results,No results,No match,7.37,505.31622,564.33007,2.34,511812530.7,3,0,,,,DDA for preferred ion,[M-H+HAc]-1,130605698.5,297507121.9,58.22982443,39.9578501,2.278,1.19,0.015634664,0.281593935,7.1,7,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.2,6.6,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,,,,,,,
